ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1416324001.96115,template1,0,0,0,0,0,0,0,0,0,0
1416324001.96115,template0,0,0,0,0,0,0,0,0,0,0
1416324001.96115,postgres,0,6929,34,60320,223106,2306796,91982,0,0,0
1416324001.96115,dbt3,3,120268,47,7340213000,13707980234,265530681190,81865584363,2541230514,15261,23735842
1416324061.96776,template1,0,0,0,0,0,0,0,0,0,0
1416324061.96776,template0,0,0,0,0,0,0,0,0,0,0
1416324061.96776,postgres,0,6931,34,60320,223161,2307458,91993,0,0,0
1416324061.96776,dbt3,9,120360,47,7340957140,13710130395,265576092382,81865591985,2567830850,15363,23735850
1416324121.96732,template1,0,0,0,0,0,0,0,0,0,0
1416324121.96732,template0,0,0,0,0,0,0,0,0,0,0
1416324121.96732,postgres,0,6933,34,60320,223216,2308120,92004,0,0,0
1416324121.96732,dbt3,4,120377,47,7341208370,13711149856,265636098042,81865594114,2567830914,15364,23735850
1416324181.97286,template1,0,0,0,0,0,0,0,0,0,0
1416324181.97286,template0,0,0,0,0,0,0,0,0,0,0
1416324181.97286,postgres,0,6935,34,60320,223271,2308782,92015,0,0,0
1416324181.97286,dbt3,6,120391,47,7341208370,13711153029,265636102977,81865595484,2567830914,15364,23735850
1416324241.97248,template1,0,0,0,0,0,0,0,0,0,0
1416324241.97248,template0,0,0,0,0,0,0,0,0,0,0
1416324241.97248,postgres,0,6937,34,60320,223326,2309444,92026,0,0,0
1416324241.97248,dbt3,4,120401,47,7341208370,13711156102,265636107864,81865596810,2567830914,15364,23735850
1416324301.97408,template1,0,0,0,0,0,0,0,0,0,0
1416324301.97408,template0,0,0,0,0,0,0,0,0,0,0
1416324301.97408,postgres,0,6939,34,60320,223381,2310106,92037,0,0,0
1416324301.97408,dbt3,4,120413,47,7341208370,13711159225,265636112775,81865598158,2567830914,15364,23735850
1416324361.97805,template1,0,0,0,0,0,0,0,0,0,0
1416324361.97805,template0,0,0,0,0,0,0,0,0,0,0
1416324361.97805,postgres,0,6941,34,60320,223436,2310768,92048,0,0,0
1416324361.97805,dbt3,13,120437,47,7342274050,13713470499,265636117821,81865599632,2627816966,15364,23735850
1416324421.97871,template1,0,0,0,0,0,0,0,0,0,0
1416324421.97871,template0,0,0,0,0,0,0,0,0,0,0
1416324421.97871,postgres,0,6943,34,60320,223491,2311430,92059,0,0,0
1416324421.97871,dbt3,8,120451,47,7343371384,13714507514,265756095114,81865601252,2627816978,15364,23735850
1416324481.98141,template1,0,0,0,0,0,0,0,0,0,0
1416324481.98141,template0,0,0,0,0,0,0,0,0,0,0
1416324481.98141,postgres,0,6945,34,60320,223546,2312092,92070,0,0,0
1416324481.98141,dbt3,10,120469,47,7345496443,13714516803,265876072432,81865602872,2627816986,15366,23735850
1416324541.98296,template1,0,0,0,0,0,0,0,0,0,0
1416324541.98296,template0,0,0,0,0,0,0,0,0,0,0
1416324541.98296,postgres,0,6947,34,60320,223601,2312754,92081,0,0,0
1416324541.98296,dbt3,10,120483,47,7345496443,13714519956,265876077393,81865604231,2627816986,15366,23735850
1416324601.98505,template1,0,0,0,0,0,0,0,0,0,0
1416324601.98505,template0,0,0,0,0,0,0,0,0,0,0
1416324601.98505,postgres,0,6949,34,60320,223656,2313416,92092,0,0,0
1416324601.98505,dbt3,7,120500,47,7348508156,13714708308,266056041062,81865606132,2627817004,15366,23735850
1416324661.98688,template1,0,0,0,0,0,0,0,0,0,0
1416324661.98688,template0,0,0,0,0,0,0,0,0,0,0
1416324661.98688,postgres,0,6951,34,60320,223711,2314078,92103,0,0,0
1416324661.98688,dbt3,7,120514,47,7348508156,13714711485,266056046071,81865607500,2627817004,15366,23735850
