# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416325583;-75806.63;0.84;41732.69
axle;60;1416325643;-5144.20;0.15;-6050.13
axle;59;1416325703;12329.98;0.24;-423.30
axle;60;1416325763;-6025.82;0.37;-485.92
axle;59;1416325823;2953.11;0.39;117.16
axle;60;1416325883;9297.99;0.27;142.70
axle;60;1416325943;-8646.72;-719.01;-17024.30
axle;59;1416326003;17397.81;0.32;-130.44
axle;60;1416326063;1533.45;0.35;463.22
axle;59;1416326123;4142.94;0.35;1620.34
axle;59;1416326183;-5036.58;0.44;-1398.20
axle;59;1416326243;2259.93;0.30;141.89
axle;60;1416326303;-11374.19;0.32;131.94
axle;59;1416326363;10541.70;0.32;215.59
axle;60;1416326423;920.16;0.52;-8.33
axle;59;1416326483;-13041.59;0.45;128.24
axle;59;1416326543;7432.67;0.42;648.14
axle;59;1416326603;4222.25;0.42;-327.06
axle;60;1416326663;33169.63;0.38;44.35
axle;60;1416326723;14.19;0.18;5.99
axle;60;1416326783;-10.24;0.13;8.75
