# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416325583;3030312;261494112;98.85;332292;50061984;215596572;79.00
axle;60;1416325643;1803112;262721312;99.32;332328;48618664;218221088;79.96
axle;59;1416325703;4718412;259806012;98.22;332384;48518580;215577024;78.99
axle;60;1416325763;3283784;261240640;98.76;332472;48402892;216981848;79.51
axle;59;1416325823;3983908;260540516;98.49;332564;48430668;216331156;79.27
axle;60;1416325883;6203152;258321272;97.65;332628;48464728;214075688;78.44
axle;60;1416325943;4138316;260386108;98.44;160928;44399324;220386652;80.75
axle;59;1416326003;8276908;256247516;96.87;161004;44368296;216298916;79.26
axle;60;1416326063;8642420;255882004;96.73;161088;44478708;215971624;79.14
axle;59;1416326123;9626616;254897808;96.36;161172;44863636;214505816;78.60
axle;59;1416326183;8429924;256094500;96.81;161276;44531424;215956288;79.13
axle;59;1416326243;8966160;255558264;96.61;161348;44565092;215434696;78.94
axle;60;1416326303;6258192;258266232;97.63;161424;44596504;218033764;79.89
axle;59;1416326363;8765852;255758572;96.69;161500;44647788;215498140;78.96
axle;60;1416326423;8984960;255539464;96.60;161624;44645804;215205324;78.86
axle;59;1416326483;5886800;258637624;97.77;161732;44676268;218358580;80.01
axle;59;1416326543;7652504;256871920;97.11;161832;44830240;216367444;79.28
axle;59;1416326603;8656556;255867868;96.73;161932;44752464;215409000;78.93
axle;60;1416326663;16590732;247933692;93.73;162024;44763072;207518796;76.04
axle;60;1416326723;16594136;247930288;93.73;162068;44764508;207518800;76.04
axle;60;1416326783;16591684;247932740;93.73;162100;44766604;207518784;76.04
