# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416324060;28692884;235831540;89.15;330344;32513892;207526780;76.04
axle;60;1416324120;26532356;237992068;89.97;330380;34684696;207517048;76.04
axle;60;1416324180;26525184;237999240;89.97;330392;34686336;207517240;76.04
axle;60;1416324240;26524140;238000284;89.97;330404;34687620;207517048;76.04
axle;60;1416324300;26522012;238002412;89.97;330404;34689484;207517048;76.04
axle;60;1416324360;25400560;239123864;90.40;330428;34697380;208792052;76.51
axle;60;1416324420;24665848;239858576;90.68;330464;34700664;209394268;76.73
axle;60;1416324480;25314880;239209544;90.43;330492;34703648;208911044;76.55
axle;60;1416324540;16233432;248290992;93.86;330524;34710172;217817092;79.81
axle;60;1416324600;22288656;242235768;91.57;330548;34714708;211736532;77.58
axle;60;1416324660;22288556;242235868;91.57;330608;34717512;211736532;77.58
